f01fe25a-9d61-4e0c-b5ff-9e884ca64d8a,deiva_skopje@gmail.com,Deiva
ed8c5c11-ff70-43b1-bc96-e145928661dc,shkorpion@gmail.com,Shkorpion
66a4088b-3775-4a9b-a0f1-5226b62bf01a,AvtoMak@gmail.com,AvtoMak
d1b9d397-ff13-4dbb-92f1-67ba41e27c40,formulaUno@hotmail.com,Formula Uno
75d70571-dc64-4e4c-b43a-8c5e4aa4e40a,avtoskola_idol@hotmail.com,Idol
21f704b6-6a53-4080-9c67-ba475095e765,Alfa.avtoshkola@gmail.com,Alfa
83881196-61d2-4283-bf82-2a1d4e1f8965,m22.contact@gmail.com,M22
0af3a659-e2bb-4be4-850a-a1eaeb6450cc,seilka_avto@gmail.com,Selika
7e10d7db-636f-48ac-9c87-13208f5b7e06,beneavtoskola@yahoo.com,Bene
050747fe-e0bb-4b9c-9429-10885c56defe,smart@gmail.com,Smart
b4a6fef7-8dfc-40a9-8731-fea706ab136a,kekec_avtoshkola@gmail.com,Kekec
dd103037-00cd-4cc3-9050-19144c80a631,bolana@gmail.com,Bolana
c4c2e974-56fa-401b-8b03-9a29f8f69de2,zebra-skopje@gmail.com,Zebra
5b7e0c10-37f8-46bb-90d6-284b4f096026,timoni@gmail.com,Timoni
2c7ae508-d6f1-4940-b248-c647f757adfb,avtoshkola_bleg.hotmail.com,Bleg
35628c96-cd5b-4953-a6d9-aa042746c06d,jole-avto2@gmail.com,Jole
1fa59e91-2420-4011-8cc5-9e43ae3eeb11,roleks.avtoshkola.ohrid@hotmail.com,Roleks
8b228745-dbfc-4415-8f32-dfb5c72d9033,kem.am@hotmail.com,Kem Am
